Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0.046,307.055511,311.384888,310.367401,309.6026,308.667542,310.339355,308.361877,309.122924666667,309.200653,310.530365,311.131256,310.287424666667
0.048,310.039764,304.735443,311.804108,308.859771666667,308.226196,307.656158,309.901611,308.594655,312.902863,311.435486,312.217163,312.185170666667
0.05,308.275116,307.137238,309.067688,308.160014,311.165588,308.584564,310.58493,310.111694,311.979614,310.34079,310.26767,310.862691333333
0.052,309.592773,309.178253,311.347961,310.039662333333,312.483551,307.959869,310.492065,310.311828333333,309.292267,310.539337,307.676239,309.169281
0.054,308.632385,310.723053,310.28891,309.881449333333,308.477875,311.782623,309.562073,309.940857,309.805054,311.339569,307.833649,309.659424
0.056,311.719147,309.02301,311.6073,310.783152333333,308.37854,308.76358,310.052795,309.064971666667,309.123322,310.294861,312.060822,310.493001666667
0.058,309.565521,309.909698,312.035583,310.503600666667,311.536743,312.235779,312.103363,311.958628333333,310.085846,309.3508,312.586823,310.674489666667
0.06,311.851929,310.140564,307.64566,309.879384333333,311.896667,309.404694,307.944641,309.748667333333,310.03421,309.42746,311.44574,310.30247
0.062,309.725677,310.142181,307.806152,309.22467,310.282501,308.506622,312.201721,310.330281333333,311.783722,310.804718,309.121826,310.570088666667
0.064,309.158051,310.126373,310.289612,309.858012,309.209534,311.170654,308.077972,309.486053333333,311.684509,308.315155,310.843323,310.280995666667
0.066,308.08606,308.98761,311.195679,309.423116333333,311.67572,308.760162,309.11795,309.851277333333,310.165619,310.524139,310.05484,310.248199333333
0.068,311.335999,306.733643,310.579468,309.549703333333,308.957306,312.043976,313.280884,311.427388666667,310.643646,310.561249,310.335388,310.513427666667
0.07,312.85849,309.549957,310.047211,310.818552666667,307.579742,313.06366,307.773956,309.472452666667,310.196289,310.635406,309.343811,310.058502
