Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
88,144972.859375,144507.734375,144239.296875,144573.296875,144262.578125,144797.796875,145161.3125,144740.5625,145056.671875,144127.578125,144696.46875,144626.90625
90,145409.875,145838.34375,145573.609375,145607.276041667,144843.390625,145024.796875,145290.359375,145052.848958333,144605,144342.296875,144656.21875,144534.505208333
92,144114.90625,144707.078125,145132.734375,144651.572916667,144699.015625,145177.734375,144950.53125,144942.427083333,143760.5625,144698.28125,144891.46875,144450.104166667
94,143808.953125,144247.890625,144891.75,144316.197916667,144540.40625,144495.90625,143785.34375,144273.885416667,145081.875,144405.875,144609.296875,144699.015625
96,143958.125,145104.0625,144289.765625,144450.651041667,143604,144229.765625,145483.40625,144439.057291667,144126.53125,144025.46875,144559.8125,144237.270833333
98,145178,144889.953125,144917.078125,144995.010416667,144254.21875,145014.390625,145043.109375,144770.572916667,144435.71875,146587.03125,143595.5,144872.75
100,145710.15625,144816.859375,144760,145095.671875,145014.0625,144635.15625,144235.609375,144628.276041667,145227.640625,144399.359375,145028.3125,144885.104166667
102,145072.828125,144060.09375,144987.359375,144706.760416667,145027.59375,144870.53125,144819.796875,144905.973958333,144431.9375,145616.234375,144177.5625,144741.911458333
104,144112.75,143859.25,145201.59375,144391.197916667,144332.1875,145601.390625,146112.1875,145348.588541667,145049.078125,145547.828125,144805.6875,145134.197916667
106,144304.40625,144632.328125,144124.5625,144353.765625,144819.5,144429.140625,144342.1875,144530.276041667,144213.84375,145801.28125,144948.1875,144987.770833333
108,144515.46875,144856.625,145646.296875,145006.130208333,143783.21875,143492.6875,144503.9375,143926.614583333,143210.875,143415.921875,144457.546875,143694.78125
110,146389.015625,144781.8125,144960.421875,145377.083333333,144827.484375,145859.3125,143935,144873.932291667,144443.09375,144710.5625,144748.640625,144634.098958333
112,145017.15625,145199.65625,144791.265625,145002.692708333,145168.421875,144057.328125,143785.671875,144337.140625,145239.484375,143730.59375,144342.921875,144437.666666667
114,144580.671875,143896.65625,143538.390625,144005.239583333,145005.140625,145655.03125,145284.6875,145314.953125,144598.828125,144322.21875,144766.125,144562.390625
116,145701.828125,144510.875,144948.953125,145053.885416667,145580.234375,144494.421875,144076.75,144717.135416667,144830,144076.21875,145300.796875,144735.671875
118,144937.796875,146496.625,145876.40625,145770.276041667,146402.90625,145295.3125,145099.421875,145599.213541667,144502.25,144220.0625,144612.1875,144444.833333333
120,145102.703125,145250.25,144792.46875,145048.473958333,144697.234375,144686.9375,144877.65625,144753.942708333,144693.828125,144446.6875,144068.0625,144402.859375
122,144102.6875,145345.140625,143930.5,144459.442708333,144432.78125,145424.046875,145241.9375,145032.921875,143873.546875,144172.6875,145265.3125,144437.182291667
124,145578.5,144636.859375,143473.8125,144563.057291667,145157.421875,144885.40625,144002.1875,144681.671875,144013.671875,144565.171875,144574.453125,144384.432291667
126,144926.34375,145224.28125,144998.953125,145049.859375,144821.546875,144822.875,145082.59375,144909.005208333,144506.953125,144312.0625,144482.40625,144433.807291667
128,144844.140625,144515.875,144578.734375,144646.25,144709,144908.453125,145042.5625,144886.671875,143275.15625,144490.1875,144324.4375,144029.927083333
130,145283.1875,144553.875,145473,145103.354166667,145747.375,144313.625,145251.890625,145104.296875,145185.375,144962.390625,144789.21875,144978.994791667
132,143776.828125,143804.90625,144699.9375,144093.890625,144712.53125,145099.953125,144841.71875,144884.734375,143814.21875,145220.28125,145064.78125,144699.760416667
134,143603.515625,144280.3125,143900.6875,143928.171875,145443.640625,145320.1875,145243.3125,145335.713541667,143421.734375,144676.328125,142719.234375,143605.765625
136,144818.96875,145228.78125,143305.203125,144450.984375,144868.453125,144795.15625,144551.3125,144738.307291667,144648.03125,143604.5,144732.953125,144328.494791667
138,143711.578125,144155.203125,144325.125,144063.96875,145063.78125,145202.9375,143803.296875,144690.005208333,144802.984375,144735.53125,145255.171875,144931.229166667
