Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
110,198.561,202.467,197.476,199.501333333333,199.312,199.779,192.712,197.267666666667,199.538,200.81,196.046,198.798
112,200.314,203.013,199.224,200.850333333333,195.169,198.067,195.198,196.144666666667,199.687,202.77,195.882,199.446333333333
114,199.636,201.536,197.488,199.553333333333,198.305,200.164,192.464,196.977666666667,202.758,201.721,194.994,199.824333333333
116,198.294,204.085,201.041,201.14,196.359,199.675,193.071,196.368333333333,201.612,200.625,194.959,199.065333333333
118,200.522,201.836,200.31,200.889333333333,196.172,198.78,195.867,196.939666666667,200.012,201.449,194.382,198.614333333333
120,200.146,203.046,201.534,201.575333333333,195.008,196.239,196.096,195.781,202.864,198.204,195.86,198.976
122,200.051,200.968,201.477,200.832,197.441,196.936,194.94,196.439,198.439,201.894,195.568,198.633666666667
124,201.697,201.657,199.019,200.791,196.178,198.502,191.966,195.548666666667,200.374,198.486,194.731,197.863666666667
126,200.151,202.214,200.386,200.917,196.098,203.51,194.314,197.974,201.223,200.497,194.834,198.851333333333
128,201.798,204.67,199.396,201.954666666667,193.457,201.963,194.697,196.705666666667,198.552,200.663,195.177,198.130666666667
130,200.08,201.352,200.19,200.540666666667,197.573,197.163,194.994,196.576666666667,200.493,202.348,195.918,199.586333333333
132,202.726,197.892,199.311,199.976333333333,199.976,201.028,194.985,198.663,200.767,202.528,196.071,199.788666666667
134,200.292,202.694,199.341,200.775666666667,197.279,199.698,194.753,197.243333333333,203.241,198.906,193.893,198.68
136,200.494,200.747,195.257,198.832666666667,198.431,201.622,194.114,198.055666666667,199.566,203.409,198.708,200.561
138,201.047,198.159,198.838,199.348,196.178,198.941,193.837,196.318666666667,203.128,199.789,197.549,200.155333333333
140,199.605,197.935,197.799,198.446333333333,198.101,199.333,193.067,196.833666666667,200.798,199.795,196.156,198.916333333333
142,199.216,201.339,198.35,199.635,200.116,201.046,194.738,198.633333333333,201.7,199.78,199.02,200.166666666667
144,200.402,202.025,196.996,199.807666666667,201.801,199.454,193.547,198.267333333333,203.322,200.629,199.714,201.221666666667
146,200.527,199.983,195.63,198.713333333333,197.517,203.369,194.861,198.582333333333,202.296,199.11,202.54,201.315333333333
148,201.534,198.626,196.43,198.863333333333,199.162,197.532,194.753,197.149,200.692,198.108,197.091,198.630333333333
150,203.703,198.296,198.413,200.137333333333,199.093,198.005,195.504,197.534,201.494,199.553,201.474,200.840333333333
152,201.249,199.495,198.438,199.727333333333,197.99,199.05,194.993,197.344333333333,200.792,201.034,197.731,199.852333333333
154,201.613,198.931,195.624,198.722666666667,200.965,200.089,194.527,198.527,200.298,199.859,197.899,199.352
156,202.005,201.692,199.585,201.094,200.022,200.498,194.494,198.338,202.517,201.435,201.521,201.824333333333
158,201.987,202.366,197.272,200.541666666667,197.208,197.708,193.157,196.024333333333,197.949,200.021,199.856,199.275333333333
160,203.459,198.854,199.235,200.516,194.969,199.255,195.214,196.479333333333,199.072,201.04,201.359,200.490333333333
162,203.332,204.093,197.099,201.508,196.284,198.888,192.261,195.811,201.967,199.332,197.713,199.670666666667
164,200.702,202.967,198.511,200.726666666667,196.94,198.037,194.145,196.374,201.38,199.641,199.443,200.154666666667
166,200.377,200.009,199.047,199.811,196.006,197.256,195.524,196.262,198.618,203.097,198.19,199.968333333333
168,200.799,201.405,199.717,200.640333333333,196.888,196.733,195.464,196.361666666667,201.018,202.644,196.413,200.025
170,201.419,198.293,198.863,199.525,196.109,200.176,195.817,197.367333333333,201.812,201.795,197.259,200.288666666667
172,203.101,198.442,197.78,199.774333333333,193.805,197.489,197.478,196.257333333333,199.105,201.681,199.489,200.091666666667
174,200.189,202.11,197.672,199.990333333333,195.884,197.711,197.675,197.09,198.976,200.052,199.057,199.361666666667
176,199.094,200.385,198.84,199.439666666667,197.041,200.264,198.284,198.529666666667,198.173,201.268,200.061,199.834
178,199.424,198.931,197.198,198.517666666667,198.889,200.487,196.83,198.735333333333,200.829,201.459,198.534,200.274
180,199.175,200.501,194.004,197.893333333333,195.972,197.778,196.389,196.713,196.022,200.006,201.698,199.242
182,198.613,200.613,197.952,199.059333333333,194.994,201.278,197.535,197.935666666667,201.55,197.28,196.86,198.563333333333
184,198.122,199.544,196.231,197.965666666667,196.146,201.329,196.315,197.93,197.995,199.852,199.725,199.190666666667
186,200.991,199.377,198.813,199.727,198.293,200.446,196.52,198.419666666667,196.279,203.747,199.675,199.900333333333
188,197.887,203.189,198.852,199.976,198.326,200.51,197.17,198.668666666667,199.905,200.18,200.556,200.213666666667
190,199.348,198.832,197.217,198.465666666667,194.915,203.817,195.031,197.921,199.793,205.166,199.966,201.641666666667
192,202.175,198.206,196.349,198.91,195.215,201.648,194.114,196.992333333333,199.248,200.739,200.146,200.044333333333
194,200.008,198.895,195.545,198.149333333333,196.072,197.83,193.841,195.914333333333,198.371,204.195,201.265,201.277
196,201.644,195.623,199.693,198.986666666667,196.17,198.763,195.04,196.657666666667,199.861,202.71,196.331,199.634
198,198.873,200.72,195.113,198.235333333333,196.058,199.628,196.495,197.393666666667,199.618,201.375,201.344,200.779
200,199.252,199.139,196.889,198.426666666667,196.281,200.168,195.912,197.453666666667,200.898,201.795,199.36,200.684333333333
202,200.159,198.245,198.195,198.866333333333,195.983,199.907,193.644,196.511333333333,198.238,202.102,200.285,200.208333333333
204,199.158,200.52,200.463,200.047,196.241,199.842,194.088,196.723666666667,199.861,200.639,199.012,199.837333333333
206,200.161,199.432,196.375,198.656,193.958,201.517,192.601,196.025333333333,197.977,200.159,202.112,200.082666666667
208,199.579,199.229,198.171,198.993,195.378,201.562,197.526,198.155333333333,200.261,201.868,199.729,200.619333333333
210,199.087,200.666,198.368,199.373666666667,197.037,201.113,194.689,197.613,199.828,200.795,198.649,199.757333333333
212,202.833,202.217,196.94,200.663333333333,197.157,202.483,195.047,198.229,198.941,198.463,195.931,197.778333333333
214,201.248,200.087,197.905,199.746666666667,196.614,201.621,194.539,197.591333333333,196.2,199.974,198.086,198.086666666667
