Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0.068,566.321655,566.542114,564.328186,565.730651666667,565.510315,564.920166,565.146484,565.192321666667,565.193115,563.962524,566.474915,565.210184666667
0.07,561.546936,566.183594,566.545532,564.758687333333,563.904846,564.908936,566.206848,565.006876666667,564.309082,565.465332,565.912109,565.228841
0.072,564.295776,565.324463,564.278015,564.632751333333,565.474182,564.971497,565.282593,565.242757333333,563.418213,564.404175,564.779114,564.200500666667
0.074,565.825012,562.987427,564.312134,564.374857666667,564.010864,565.264709,565.536072,564.937215,566.316284,564.756409,564.514343,565.195678666667
0.076,566.986206,567.219482,565.502563,566.569417,566.199707,566.199463,562.954895,565.118021666667,566.21167,565.219055,565.236633,565.555786
0.078,564.903564,564.934692,563.204834,564.347696666667,564.382446,565.792236,566.927551,565.700744333333,563.754761,564.98584,564.332886,564.357829
0.08,565.164429,564.210083,565.787903,565.054138333333,567.231812,565.629883,564.542908,565.801534333333,565.462708,564.694763,564.300171,564.819214
0.082,564.904724,567.199463,565.496643,565.866943333333,565.775574,565.855652,565.738159,565.789795,564.049255,565.953308,565.623596,565.208719666667
0.084,566.216736,565.457947,565.50238,565.725687666667,563.239136,564.552063,566.194458,564.661885666667,564.255005,564.779175,564.907776,564.647318666667
0.086,565.098999,566.795776,565.375244,565.756673,565.177307,565.898865,566.057617,565.711263,564.896912,564.465942,565.750977,565.037943666667
0.088,563.765686,565.394836,564.003174,564.387898666667,563.610413,564.813293,566.586365,565.003357,564.641052,567.172058,561.893982,564.569030666667
0.09,564.064148,563.72998,564.682678,564.158935333333,561.892639,564.693604,563.550781,563.379008,564.062439,564.605774,564.97699,564.548401
0.092,564.815796,565.482178,565.267212,565.188395333333,564.47467,564.760925,566.353516,565.196370333333,565.039612,563.977356,564.192017,564.402995
0.094,564.026245,564.350037,565.601685,564.659322333333,566.664551,564.058899,565.893188,565.538879333333,563.257812,566.293823,562.81781,564.123148333333
0.096,564.716553,562.958435,563.903992,563.85966,564.760803,564.623474,563.524658,564.302978333333,564.051758,563.971985,564.081726,564.035156333333
0.098,564.54425,565.583862,564.365845,564.831319,565.926758,563.781555,566.23938,565.315897666667,562.568115,565.348633,565.015381,564.310709666667
0.1,564.585205,563.947632,564.613098,564.381978333333,563.685608,565.264038,566.38031,565.109985333333,564.490967,566.824219,564.826172,565.380452666667
0.102,566.343689,565.212769,564.736877,565.431111666667,564.058472,567.134338,564.136902,565.109904,563.575989,563.731384,563.623108,563.643493666667
0.104,564.993896,564.799988,564.63739,564.810424666667,566.107849,564.943176,567.42865,566.159891666667,565.570618,565.72052,564.507629,565.266255666667
0.106,563.951355,562.89447,565.112244,563.986023,565.390503,566.112,563.314941,564.939148,565.125977,566.422424,563.958984,565.169128333333
0.108,566.206055,566.165039,567.044189,566.471761,566.296875,562.656006,564.634216,564.529032333333,564.461426,565.538635,563.485291,564.495117333333
0.11,566.119873,566.298462,562.921387,565.113240666667,564.703247,564.197144,562.556641,563.819010666667,564.930786,565.984619,565.087585,565.33433
0.112,563.035217,564.091797,564.294312,563.807108666667,565.307556,564.952698,564.307739,564.855997666667,564.892395,564.316528,563.829102,564.346008333333
0.114,563.521057,567.05719,564.350891,564.976379333333,566.986389,565.437683,563.238098,565.220723333333,564.564026,564.26355,566.417114,565.081563333333
0.116,567.272217,564.660583,566.18396,566.03892,564.860474,564.418701,565.161011,564.813395333333,564.936157,567.26062,563.162598,565.119791666667
