Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0.074,-702015.3125,-702682.375,-703609,-702768.895833333,-703456.9375,-702456.9375,-701746.3125,-702553.395833333,-703360.75,-704649.3125,-704699.125,-704236.395833333
0.076,-700493.1875,-703183.1875,-702411,-702029.125,-702507,-702150.6875,-703601.6875,-702753.125,-705426.1875,-704906.875,-704422.25,-704918.4375
0.078,-704114.5,-702251.5,-703558.3125,-703308.104166667,-703017,-703112.5625,-702771.8125,-702967.125,-704898.5,-705603.875,-704966.625,-705156.333333333
0.08,-703407.25,-701922.5625,-702089.4375,-702473.083333333,-702358.625,-702003.75,-702965.5625,-702442.645833333,-703768.4375,-704306.4375,-703570.875,-703881.916666667
0.082,-701908,-702192.125,-704129.4375,-702743.1875,-705185,-702310.9375,-703839.5,-703778.479166667,-702855.0625,-703558,-704007.4375,-703473.5
0.084,-702749.5625,-703164.125,-702480.9375,-702798.208333333,-703755.1875,-704041,-703126.6875,-703640.958333333,-705260.1875,-704466.8125,-703801.0625,-704509.354166667
0.086,-702852.875,-702188,-704450.25,-703163.708333333,-703355.9375,-703886.625,-701831.875,-703024.8125,-704035.9375,-704087.0625,-703639.3125,-703920.770833333
0.088,-702539,-703633.125,-703262.75,-703144.958333333,-702860.8125,-702529.1875,-703552.3125,-702980.770833333,-703532.625,-702731.875,-704654.9375,-703639.8125
0.09,-702325.5625,-702996.5,-702791.4375,-702704.5,-703429.6875,-703677.4375,-702623.125,-703243.416666667,-703019.9375,-703371.25,-703039.5625,-703143.583333333
0.092,-703363.3125,-702380.4375,-703721.8125,-703155.1875,-702442.5,-702928.5625,-701639.75,-702336.9375,-704290.0625,-703477.625,-702794.25,-703520.645833333
0.094,-702218.5,-702736.8125,-703005.8125,-702653.708333333,-702675.25,-703398.25,-703556.5625,-703210.020833333,-703671.6875,-702647.625,-704457.8125,-703592.375
0.096,-703028.0625,-702769,-703822.3125,-703206.458333333,-702614.125,-704652.75,-702890.3125,-703385.729166667,-704121.1875,-704065.9375,-702840.3125,-703675.8125
0.098,-702582.625,-703730.4375,-703251.8125,-703188.291666667,-702320.3125,-704125.625,-703501.1875,-703315.708333333,-704410.875,-703648.875,-704447,-704168.916666667
0.1,-703014.5,-703204.625,-703306.6875,-703175.270833333,-703661.5625,-702401.3125,-702236.0625,-702766.3125,-703384.25,-704754.6875,-703730.1875,-703956.375
0.102,-702950.8125,-703038.875,-703806.125,-703265.270833333,-702692.5625,-702116.625,-703785.125,-702864.770833333,-703488.5,-704142.75,-704119.1875,-703916.8125
0.104,-704231.875,-703934.8125,-704962.125,-704376.270833333,-702927,-703370.25,-701676.75,-702658,-703792,-703675.5,-703752.4375,-703739.979166667
0.106,-703800.5,-704356.1875,-703612.25,-703922.979166667,-701644.875,-703036.25,-703019.8125,-702566.979166667,-704026.875,-703124.0625,-703948.0625,-703699.666666667
0.108,-702232.6875,-702634.375,-703101.0625,-702656.041666667,-703050.6875,-705289.75,-703939.5,-704093.3125,-704184.75,-703580.25,-704029.0625,-703931.354166667
0.11,-702451.875,-703697.1875,-702366,-702838.354166667,-703637,-702498.375,-704911.5625,-703682.3125,-703986.8125,-704993.1875,-703063.375,-704014.458333333
0.112,-701348.625,-702826.125,-702794.875,-702323.208333333,-702943.9375,-704737.1875,-702535.1875,-703405.4375,-702977.125,-703443.8125,-702928,-703116.3125
0.114,-704371.5,-702632.375,-705116.3125,-704040.0625,-703381.75,-703658.5625,-702675,-703238.4375,-703266.25,-704387.375,-701528,-703060.541666667
0.116,-701962,-701214.75,-704394.9375,-702523.895833333,-702707.125,-703911.875,-704777,-703798.666666667,-704690.375,-703655.75,-702833.3125,-703726.479166667
0.118,-701807.4375,-702136.6875,-703054.375,-702332.833333333,-701444,-702951.125,-704732.375,-703042.5,-703011.9375,-704289,-703774.9375,-703691.958333333
0.12,-702543.375,-701715.125,-704129.1875,-702795.895833333,-705838.9375,-702271.6875,-703628.625,-703913.083333333,-703251.9375,-702390.625,-704059.25,-703233.9375
0.122,-703547.625,-702409.4375,-703754.3125,-703237.125,-703137.0625,-703463.1875,-701670.6875,-702756.979166667,-703037.4375,-704172.375,-703354.8125,-703521.541666667
0.124,-702119.3125,-703319.75,-704075.625,-703171.5625,-703657.1875,-701192.25,-702739.625,-702529.6875,-702667.875,-703480.1875,-705010.875,-703719.645833333
0.126,-702518.4375,-702455.9375,-703291.125,-702755.166666667,-703622.5,-703498.8125,-703148.8125,-703423.375,-703876.875,-704707.375,-704259.375,-704281.208333333
0.128,-703076.125,-702675.5625,-704748.4375,-703500.041666667,-704581.5625,-702842.5,-702888.3125,-703437.458333333,-702125.5,-702680.5625,-703650.3125,-702818.791666667
0.13,-703304.5625,-703876.9375,-702325.0625,-703168.854166667,-703874.25,-703412.5625,-704611,-703965.9375,-702854.125,-702988.0625,-702918.5625,-702920.25
0.132,-702602.625,-703780.3125,-703988.125,-703457.020833333,-703153.875,-701458.875,-703727.5625,-702780.104166667,-703595,-702667.5625,-703051.625,-703104.729166667
0.134,-702320.0625,-702335.875,-704545.1875,-703067.041666667,-703628.875,-704713.875,-701766.0625,-703369.604166667,-703482.3125,-703965.5625,-703720.25,-703722.708333333
0.136,-703728.625,-702312.875,-704934.4375,-703658.645833333,-703568,-702501.8125,-704188.5,-703419.4375,-703632.3125,-703789.75,-701995.25,-703139.104166667
0.138,-704041.75,-702448.25,-702868.375,-703119.458333333,-703432.6875,-702268.8125,-703751.375,-703150.958333333,-704070.5,-704062.0625,-703862.125,-703998.229166667
0.14,-703120.75,-703320.5625,-704348.25,-703596.520833333,-704531.5,-703313.1875,-702411.4375,-703418.708333333,-704242.4375,-704885.6875,-702939.25,-704022.458333333
0.142,-701833.3125,-703752.3125,-703999.625,-703195.083333333,-702809.875,-702335.9375,-703485.375,-702877.0625,-703885.8125,-702825.125,-704074.3125,-703595.083333333
0.144,-702131.0625,-701575.75,-703009,-702238.604166667,-702584.75,-701692.3125,-702864.9375,-702380.666666667,-703433.9375,-704032.5,-703263.4375,-703576.625
0.146,-702330.9375,-703942.375,-702826.0625,-703033.125,-703192,-705385.9375,-704070.0625,-704216,-701947,-703709.375,-704496.5,-703384.291666667
0.148,-704478.875,-703181.25,-702891.75,-703517.291666667,-701289.625,-702438.5625,-703679.3125,-702469.166666667,-704496.5625,-703149.4375,-703596.5,-703747.5
0.15,-702557.5625,-703050.5625,-703282.25,-702963.458333333,-705486.0625,-704558.125,-703579,-704541.0625,-704227.4375,-703648.6875,-703440.3125,-703772.145833333
0.152,-701397.25,-704863.75,-702364.6875,-702875.229166667,-701954.5625,-702114.875,-704663,-702910.8125,-703601.3125,-704755.5,-702872.5625,-703743.125
0.154,-703923.9375,-703770.25,-700617.375,-702770.520833333,-703774.5,-701680.625,-703312.3125,-702922.479166667,-704611.125,-703429.25,-702752.75,-703597.708333333
0.156,-702664.125,-704866.0625,-702373.75,-703301.3125,-703259.8125,-702428.3125,-703685.125,-703124.416666667,-703508.75,-703873.8125,-704487.5625,-703956.708333333
0.158,-703536.125,-703482.875,-703805.875,-703608.291666667,-702379.25,-701225.8125,-703483.5625,-702362.875,-703293.625,-704047.625,-704468.75,-703936.666666667
0.16,-701530.9375,-702109.4375,-703704.625,-702448.333333333,-704803.4375,-702157.8125,-702583.8125,-703181.6875,-703745,-703624.6875,-703681,-703683.5625
0.162,-701833.9375,-702663,-703848.8125,-702781.916666667,-702390.5,-702885.3125,-702556.625,-702610.8125,-704129.1875,-703982.375,-701551.4375,-703221
0.164,-703226.5625,-703483.125,-703126.75,-703278.8125,-701875.3125,-702187.5,-704161.5625,-702741.458333333,-705086.8125,-703505.25,-704115.625,-704235.895833333
0.166,-701348.4375,-703381.6875,-704151.6875,-702960.604166667,-703238,-704955.9375,-704612.25,-704268.729166667,-704945.0625,-704309.0625,-703675.0625,-704309.729166667
0.168,-701222.1875,-704313.25,-702483.8125,-702673.083333333,-701481.75,-703018.6875,-704518.8125,-703006.416666667,-705441.0625,-704681.5625,-704192.625,-704771.75
0.17,-702322.8125,-701633.25,-701771,-701909.020833333,-704355.75,-704995.9375,-703320.0625,-704223.916666667,-705025.6875,-704646,-704172.125,-704614.604166667
